검색어,번호,품목보고번호,업체명,품목유형,소비기한,제품명,분류
풀무원,38,2009047601170,풀무원다논주식회사,농후발효유,제조일로부터 36일,풀무원다논 그릭 블루베리,축산
풀무원,37,20090476011209,풀무원다논주식회사,농후발효유,제조일로부터 31일,풀무원다논 그릭 설탕무첨가 플레인,축산
풀무원,36,20090476011135,풀무원다논주식회사,농후발효유,제조일로부터 23일,풀무원다논 그릭 요거트파우치(캡형),축산
풀무원,35,2009047601190,풀무원다논주식회사,농후발효유,제조일로부터 23일,풀무원다논 그릭 파우치,축산
풀무원,34,20090476011119,풀무원다논주식회사,발효유,제조일로부터 31일,풀무원다논 그릭 프로즌 망고,축산
풀무원,33,2009047601180,풀무원다논주식회사,농후발효유,제조일로부터 31일,풀무원다논 그릭 플레인,축산
풀무원,32,2016001009511,풀무원다논 주식회사,프로바이오틱스,제조일로부터 27일,풀무원다논 눈솔루션,건기
풀무원,31,20090476011155,풀무원다논주식회사,농후발효유,제조일로부터 27일,풀무원다논 더눈솔루션,축산
풀무원,30,2019045501850,행복드림영농조합법인,농후발효유,제조일로부터 26일,풀무원다논 동물복지인증목장 요거트,축산
풀무원,29,20090476011161,풀무원다논주식회사,발효유,제조일로부터 34일,풀무원다논 생크림요거트 플레인,축산
풀무원,28,20090476011154,풀무원다논주식회사,농후발효유,제조일로부터 28일,풀무원다논 오이코스 딸기,축산
풀무원,27,20090476011153,풀무원다논주식회사,농후발효유,제조일로부터 28일,풀무원다논 오이코스 바닐라,축산
풀무원,26,20090476011152,풀무원다논주식회사,농후발효유,제조일로부터 28일,풀무원다논 오이코스 생크림,축산
풀무원,25,20090476011151,풀무원다논주식회사,농후발효유,제조일로부터 28일,풀무원다논 오이코스 플레인,축산
풀무원,24,2010044800370,주식회사 우리에프엔비,농후발효유,제조일로부터 22일,풀무원다논그릭 드링크 딸기블루베리,축산
풀무원,23,2010044800369,주식회사 우리에프엔비,농후발효유,제조일로 부터 냉장 22일,풀무원다논그릭 드링크 플레인,축산
풀무원,22,20090476011136,풀무원다논주식회사,발효유,제조일로부터 31일,풀무원다논그릭 프로즌 통팥,축산
풀무원,21,19880442004296,풀무원건강생활(주),기타가공품,24개월,풀무원라인업화이버,식품
풀무원,20,19890606033187,화창식품(주),조미액젓,제조일로부터6개월,풀무원멸치액젓,식품
풀무원,19,20040020001123,풀무원건강생활(주),프로바이오틱스,18일,풀무원발효유산균 밀크씨슬,건기
풀무원,18,19930606076285,(주)남부식품,어묵,15일,풀무원부산어묵다용도사각,식품
풀무원,17,1988044200430,풀무원건강생활(주),생식함유제품,제조일로부터10개월,풀무원생식순,식품
풀무원,16,1988044200432,풀무원건강생활(주),생식함유제품,제조일로부터10개월,풀무원생식순혼합분말,식품
풀무원,15,20080395120785,(주)서울에프엔비 횡성지점,원액두유,제조일부터 3일,풀무원서리태콩즙,식품
풀무원,14,20150443298512,(주)우리델리카,즉석섭취식품,제조시간으로부터 60시간,풀무원소불고기전골정식,식품
풀무원,13,20000443042652,(주)원일식품,소스,제조일로부터 6개월까지,풀무원숙주 볶음소스(겨자참깨맛),식품
풀무원,12,2001043504636,(주)풀잎라인,두부,제조일로부터 15일까지,풀무원순두부,식품
풀무원,11,20060311269120,(주) 빅솔반월공장,기타가공품,제조일로부터 24개월까지,풀무원식물비타혼합분말,식품
풀무원,10,2023063202324,(주)우리에프엔비 서천공장,농후발효유,제조일부터 냉장 15일,풀무원요거트,축산
풀무원,9,2010044800327,주식회사 우리에프엔비,농후발효유,제조일로부터 15일,풀무원요거트,축산
풀무원,8,20090476011102,풀무원다논주식회사,발효유,제조일로부터 33일,풀무원요거트 그릭 프로즌 딸기,축산
풀무원,7,20090476011101,풀무원다논주식회사,발효유,제조일로부터 33일,풀무원요거트 그릭 프로즌 플레인,축산
풀무원,6,20090476011214,풀무원다논주식회사,발효유,제조일로부터 31일,풀무원요거트 디요 초코&피스타치오,축산
풀무원,5,20090476011213,풀무원다논주식회사,발효유,제조일로부터 31일,풀무원요거트 디요 커피,축산
풀무원,4,20080395120891,(주)서울에프엔비 횡성지점,원액두유,제조일부터 3일,풀무원특등급서리태콩즙,식품
풀무원,3,20080395120784,(주)서울에프엔비 횡성지점,원액두유,제조일부터 3일,풀무원특등급콩즙,식품
풀무원,2,19960199063578,가림산업주식회사,조미액젓,12개월,풀무원특제액젓,식품
풀무원,1,2004002000193,풀무원건강생활(주),밀크씨슬추출물(제2009-24호),5일,풀무원헤파,건기
풀스키친,18,200504150203052,(주)시아스,소스,"냉장, 4개월",풀스키친 로제스파게티소스,식품
풀스키친,17,200504150201610,(주)시아스,소스,6개월,풀스키친 비트라임타르타르소스,식품
풀스키친,16,200504150201897,(주)시아스,소스,3개월,풀스키친 스위트머스타드드레싱,식품
풀스키친,15,200504150201329,(주)시아스,당류가공품,12개월,풀스키친 유기농아가베시럽,식품
풀스키친,14,200504150201563,(주)시아스,소스,3개월,풀스키친 크리미시저드레싱,식품
풀스키친,13,20050415020864,(주)시아스,소스,"냉장보관, 제조일로부터3개월까지",풀스키친 키위드레싱,식품
풀스키친,12,198804450092454,(주)피피이씨음성생면,소스,제조일로부터 6개월까지,풀스키친 평양물냉면육수,식품
풀스키친,11,200504150204282,(주)시아스,소스,"냉장,6개월",풀스키친강된장소스,식품
풀스키친,10,201904421492491,(주)동원홈푸드,소스,제조일부터 5개월 (냉장보관),풀스키친데미그라스소스,식품
풀스키친,9,2002046107315497,(주)동원홈푸드,소스,제조일부터 5개월 (냉장보관),풀스키친데미그라스소스,식품
풀스키친,8,200504150201608,(주)시아스,소스,8개월,풀스키친레몬탕수육소스,식품
풀스키친,7,200204610734424,(주)동원홈푸드,소스,제조일로부터 6개월 (냉장보관 : 0~10℃),풀스키친미트스파게티소스,식품
풀스키친,6,200504150203318,(주)시아스,소스,"냉장, 6개월",풀스키친사천식마라소스,식품
풀스키친,5,200204610734440,(주)동원홈푸드,소스,제조일로부터 10개월 (냉장보관 : 0~10℃),풀스키친얼큰우동소스,식품
풀스키친,4,200504150201561,(주)시아스,소스,3개월,풀스키친올리브유발사믹드레싱,식품
풀스키친,3,200504150202094,(주)시아스,마요네즈,4개월,풀스키친유정란마요네즈,식품
풀스키친,2,200204610734430,(주)동원홈푸드,소스,제조일로부터 3개월 (냉장보관 : 0~10℃),풀스키친크림스파게티소스,식품
풀스키친,1,200504150201456,(주)시아스,소스,3개월,풀스키친허니요거트드레싱,식품
풀스쿡,17,20020257284480,삼양스퀘어밀 주식회사,분쇄가공육제품,제조일로부터 9개월(-18도이하),풀스쿡 THE 부드러운 허브미트볼,축산
풀스쿡,16,20020257284472,삼양스퀘어밀 주식회사,분쇄가공육제품,제조일로부터 9개월,풀스쿡 THE 부드러운 허브함박스테이크,축산
풀스쿡,15,198804450091741,(주)피피이씨음성생면,건면,제조일로부터 6개월,풀스쿡 건강한가득생라면,식품
풀스쿡,14,2013034709255,(주)이음푸드시스템 가동,조림류,60일(냉장),풀스쿡 고추장 멸치조림,식품
풀스쿡,13,2022057600234,농업회사법인 주식회사 정원식품 2공장,알가열제품,제조일로부터 3개월까지,풀스쿡 깐메추리알,축산
풀스쿡,12,200404480035,후래쉬애그푸드주식회사농업회사법인,알가열제품,제조일로부터 180일,풀스쿡 깐메추리알,축산
풀스쿡,11,2004040500186,농업회사법인(주)정원식품,알가열제품,제조일로부터 3개월까지,풀스쿡 깐메추리알,축산
풀스쿡,10,2004031030569,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 닭가슴살,축산
풀스쿡,9,20040310305129,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 닭날개(봉),축산
풀스쿡,8,20040310305128,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 닭날개(윙),축산
풀스쿡,7,2004031030570,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 닭다리살,축산
풀스쿡,6,200403103055,(주)마니커동두천지점,포장육,"냉장(-2~5℃)10일,냉동(-18℃이하)24개월",풀스쿡 닭볶음용,축산
풀스쿡,5,2004031030571,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 닭안심살,축산
풀스쿡,4,20020257284473,삼양스퀘어밀 주식회사,분쇄가공육제품,제조일로부터 9개월까지,풀스쿡 매콤닭불고기,축산
풀스쿡,3,2013034709254,(주)이음푸드시스템 가동,조림류,60일(냉장),풀스쿡 멸치조림,식품
풀스쿡,2,2004031030573,(주)마니커동두천지점,포장육,냉장(-2~5℃)10일,풀스쿡 통닭,축산
풀스쿡,1,2022049709727,해강물산(주),건어포,제조일로부터 6개월,풀스쿡 황태채,식품
