검색어,번호,품목보고번호,업체명,품목유형,소비기한,제품명,분류
풀무원,77,20010306244766,주식회사 화경,소스,제조일로부터 15개월,풀무원 겨자소스,식품
풀무원,76,20070443110974,(주)삼양패키징광혜원공장,액상차,12개월,풀무원 곡물차 하루귀리,식품
풀무원,75,19960199063495,가림산업주식회사,조미액젓,제조일로부터 6개월까지,풀무원 김치 새우액젓,식품
풀무원,74,2015044321953,(주)다인소재,전분가공품,제조일로부터 24개월까지,풀무원 김치전용분말,식품
풀무원,73,2020042401937,피티씨(PTC) 오송,기타가공품,제조일로부터 12개월 (냉장보관 0~10℃),풀무원 나또 종균,식품
풀무원,72,199503380156498,주식회사 에스피씨삼립,숙면,제조일로부터 18개월까지(냉동),풀무원 냉동우동면,식품
풀무원,71,2004002000194,풀무원건강생활(주),매실추출물,5일,풀무원 밀크시슬&매실 헤파 케어,건기
풀무원,70,2023080519555,동아에코팩 주식회사,탄산음료,제조일로부터 12개월까지,풀무원 브리지톡 라임,식품
풀무원,69,2023080519556,동아에코팩 주식회사,탄산음료,"PET : 제조일로부터 12개월까지, CAN : 제조일로부터 24개월까지",풀무원 브리지톡 레몬,식품
풀무원,68,20030473071460,건강한사람들 주식회사 2사업장,탄산음료,제조일로부터 12개월,풀무원 브리지톡 레몬토닉 제로,식품
풀무원,67,20030473071461,건강한사람들 주식회사 2사업장,탄산음료,제조일로부터 12개월,풀무원 브리지톡 진저에일 제로,식품
풀무원,66,20030473071488,건강한사람들 주식회사 2사업장,탄산음료,제조일로부터 12개월,풀무원 브리지톡 토닉워터,식품
풀무원,65,20030473071448,건강한사람들 주식회사 2사업장,탄산음료,제조일로부터 12개월,풀무원 브리지톡 피치블랙티 제로,식품
풀무원,64,198804450092520,(주)피피이씨음성생면,건면,제조일로부터 12개월,풀무원 사리면,식품
풀무원,63,2006044400710,신선나또(주),청국장,냉동 12개월,풀무원 살아있는 실의힘 생나또(검은콩)-수출용 Pulmudne Black Bean Natto,식품
풀무원,62,2006044400711,신선나또(주),청국장,냉동12개월,풀무원 살아있는 실의힘 생나또(캐나다산콩)-수출용 Pulmuone Soybean Natto,식품
풀무원,61,2020042401940,피티씨(PTC) 오송,즉석조리식품,제조일로부터 30일,풀무원 새뱅이 칼제비 밀키트,식품
풀무원,60,2023080519572,동아에코팩 주식회사,탄산음료,"PET : 제조일로부터 12개월까지, CAN : 제조일로부터 24개월까지",풀무원 스파클링 브리지톡 사과,식품
풀무원,59,2023080519557,동아에코팩 주식회사,탄산음료,제조일로부터 12개월까지,풀무원 스파클링 브리지톡 샤인머스캣,식품
풀무원,58,2023080519558,동아에코팩 주식회사,탄산음료,제조일로부터 12개월까지,풀무원 스파클링 브리지톡 자몽,식품
풀무원,57,2023080519553,동아에코팩 주식회사,탄산수,"PET : 제조일로부터 12개월까지, CAN : 제조일로부터 24개월까지",풀무원 스파클링 브리지톡 플레인,식품
풀무원,56,2014060122421,(주)글루칸,기타가공품,24개월,풀무원 유산균배양액 분말,식품
풀무원,55,19950492079744,(주)지엠에프,만두,제조일로부터 12개월 까지,풀무원 지구식단 두부김치 한식교자,식품
풀무원,54,2024058031324,세진식품 주식회사,떡류,제조일로부터 55일,풀무원 지구식단 찰곤약떡볶이,식품
풀무원,53,19950492079745,(주)지엠에프,만두,제조일로부터 12개월 까지,풀무원 지구식단 표고야채 한식교자,식품
풀무원,52,19950144120234,훼미리식품(주)부산공장,빙과,해당없음,풀무원 지구식단 플랜또 딸기라즈베리,식품
풀무원,51,19950144120235,훼미리식품(주)부산공장,빙과,해당없음,풀무원 지구식단 플랜또 초코브라우니,식품
풀무원,50,19960199063528,가림산업주식회사,조미액젓,제조일로부터 6개월까지,풀무원 참 새우액젓,식품
풀무원,49,19860347002614,(주)동성식품,떡류,제조일로부터 35일,풀무원 치즈떡볶이떡,식품
풀무원,48,2004002000162,풀무원건강생활(주),영양보충용제품,제조일로부터 18개월,풀무원 치커리곤약정제,건기
풀무원,47,200504150201919,(주)시아스,소스,"냉장, 6개월",풀무원 키위 드레싱,식품
풀무원,46,2003038021821,주식회사 피피이씨춘천-얼음지점,식용얼음,유통기한 예외품목,풀무원 홀아이스,식품
풀무원,45,20050405010520,(주)선진햄,햄,제조일로부터 180일,풀무원 ？트햄,축산
풀무원,44,200204610734845,(주)동원홈푸드,소스,12개월 (실온보관),풀무원겨자소스,식품
풀무원,43,19880445009746,(주)피피이씨음성생면,소스,제조일로부터 15개월,풀무원겨자소스,식품
풀무원,42,19880442004125,풀무원건강생활(주),즉석섭취식품,12개월,풀무원곡소순,식품
풀무원,41,20150543019224,YMF(와이엠에프),액젓,18개월,풀무원김치멸치액젓,식품
풀무원,40,20090476011130,풀무원다논주식회사,농후발효유,제조일로부터 36일,풀무원다논 그릭 달지 않은 플레인,축산
풀무원,39,2009047601189,풀무원다논주식회사,농후발효유,제조일로부터 31일,풀무원다논 그릭 딸기바나나,축산
